round,average weight differences,train losses,test losses,test accuracies,average AUCs,Kappas
1,0,0.9618532753168708,2.4108342137306358,0.2218,0.5668282534476823,0.13415193174687237
2,0,0.4912204273465193,3.304772279824421,0.1841,0.5475341594900589,0.09435155199272907
3,0,0.22827780624872288,2.1539078297888397,0.2327,0.5747634183619987,0.14729270991943733
4,0,0.1686119547241574,1.8627234105091945,0.3695,0.6460504746708488,0.29801943950621007
5,0,0.13320355056973898,1.900821575693264,0.3252,0.6316502987167112,0.255416272839841
6,0,0.04631791279964252,2.4932136938070797,0.3962,0.6596793788682976,0.3275143462306756
7,0,0.110495260004187,1.9568445735676274,0.3719,0.6526761414270034,0.3028218764616349
8,0,0.0895129338117808,1.3342632955046976,0.5338,0.7378853608844305,0.48130564692261774
9,0,0.09239454133436084,1.2483849396371538,0.5981,0.775870290919687,0.5536716602837863
10,0,0.08530195219936368,1.124601421082855,0.5726,0.7620634023895221,0.5248621124614916
11,0,0.08237400661510441,1.1311347203649533,0.5769,0.7671869169672422,0.5300602237097712
12,0,0.06265332974532954,1.031340751678321,0.6373,0.8002670625468852,0.5973440337315349
13,0,0.04033385199179691,1.1877208674789235,0.6008,0.7757696217632066,0.5563982852215678
14,0,0.044459938797103755,0.9058159331607211,0.6885,0.8227853147878628,0.6534891385586474
15,0,0.0778222296426797,1.1831933734523263,0.5146,0.7280071405914937,0.45996641111232917
16,0,0.05484226006677233,0.9015198306293245,0.6769,0.8213443345932616,0.6415384610093418
17,0,0.04205395563855159,1.1125372895009957,0.5341,0.7462947167161916,0.484630980129333
18,0,0.03645341430164019,1.0546107493388426,0.612,0.7835495479993534,0.568687020037167
19,0,0.040419792713054147,0.8477336024023165,0.7087,0.8385680187503249,0.6765047570569604
20,0,0.05905996597979296,0.874095751981067,0.6747,0.816544712201614,0.638240708404985
21,0,0.03467938618594134,1.3168723199777543,0.5652,0.7597607158277404,0.5182799678829677
22,0,0.04274897295739761,0.672604385644767,0.7773,0.8733620052668201,0.7523119405886768
23,0,0.04082715436290083,0.7067450374175029,0.7563,0.8602483287533979,0.7288240787215353
24,0,0.03424128656951103,0.929148633768604,0.7077,0.8352356545807342,0.6749912818607364
25,0,0.02790222128795964,0.8592435263904037,0.6927,0.8283596517947762,0.6582816455132108
26,0,0.030811422536825478,0.9398886039378537,0.6648,0.8130705291884285,0.6274822689005906
27,0,0.047770111673341796,0.9866945436046382,0.6615,0.8118259384729256,0.6243954875617317
28,0,0.036896007438067396,0.8104144928941301,0.7074,0.8345687039866417,0.6746313777003733
29,0,0.037629266789829766,0.9465972221201393,0.7092,0.8383430503000294,0.677165873395424
30,0,0.0374224421743234,0.9072234816611953,0.6527,0.8076095529485962,0.6143549459089227
31,0,0.043575711961770944,1.2000791195091929,0.6018,0.7728758831909666,0.5565541711119364
32,0,0.04019632970876733,0.9043822753581272,0.6547,0.8083154927453255,0.6169478468780467
33,0,0.03867129229568107,0.7673830799995713,0.7129,0.8388601666169342,0.6807825703680966
34,0,0.03406746430104572,0.9800026536367501,0.6551,0.8101476792496582,0.6172722492741239
35,0,0.027969438510835366,0.5882881862722384,0.8015,0.888500422103041,0.7792431043441888
36,0,0.024732165400647012,0.6979015143054306,0.7533,0.8585350562203711,0.7254110767034604
37,0,0.032127867587620526,0.587897069325113,0.7852,0.8790502565950981,0.7611983706124579
38,0,0.020130083537909536,0.7029839027079807,0.7408,0.8534792197194202,0.711496378461455
39,0,0.025683624815016327,0.4738536029579533,0.8488,0.9162761788443419,0.8320312664465913
40,0,0.04551287019351891,0.6250189666155797,0.7685,0.8687982072898588,0.7425071642515322
41,0,0.019020583062775483,0.5521625212043714,0.8021,0.8891117117149905,0.7799861603623846
42,0,0.023151003007908004,0.4840609178326692,0.8352,0.9084580734724108,0.816883063735683
43,0,0.036207917347233484,0.5881796769655434,0.7784,0.8758124232829723,0.753670301393279
44,0,0.020675481038172922,0.4872670445092924,0.8306,0.9031616900584034,0.811561064627035
45,0,0.023858890823612457,0.7826982966274213,0.7103,0.8344317468550138,0.6776797212313437
46,0,0.03138662591418446,0.5198661657465491,0.8066,0.8904691848948858,0.7849785264814121
47,0,0.02628853304703565,0.4651398639770071,0.8407,0.9084808114054651,0.822755633191481
48,0,0.020875220111122573,0.42477327528273223,0.8558,0.9195354849659051,0.83971996476907
49,0,0.018745714143851525,0.4164307772828515,0.8565,0.9200389884736465,0.8405152502151795
50,0,0.023216064399086463,0.9127371246647683,0.6761,0.8174387061868634,0.6399058054065869
